Training Loss,Valid. Loss,Valid. Accur.,Training Time,Validation Time
0.24082928798161446,0.0012054602382704615,1.0,0:04:00,0:00:07
0.0008743744532694109,0.0004892745520919562,1.0,0:03:38,0:00:07
0.0005207709036767483,0.00036324139218777416,1.0,0:03:27,0:00:07
0.00042361719970358537,0.0003073429106734693,1.0,0:04:15,0:00:08
0.0003756585560040548,0.0002907782793045044,1.0,0:04:29,0:00:08
